session_id,brain_structure x,brain_structure y,y_feature,r_squ,pseudo_session,loo_trial_idx
835479236,VISl,VISp,periodic_pow,0.0031816310195513786,766640955,42
835479236,VISl,VISp,periodic_pow,0.0027034812031595523,766640955,43
835479236,VISl,VISp,periodic_pow,0.00229513103939305,766640955,44
835479236,VISl,VISp,periodic_pow,0.0038714185086018427,766640955,45
835479236,VISl,VISp,periodic_pow,0.0026798376391019563,766640955,46
835479236,VISl,VISp,periodic_pow,0.0027253884314524246,766640955,47
835479236,VISl,VISp,periodic_pow,0.0027080743639092963,766640955,48
835479236,VISl,VISp,periodic_pow,0.0024338358397458792,766640955,49
835479236,VISl,VISp,periodic_pow,0.004505585678674762,766640955,50
835479236,VISl,VISp,periodic_pow,0.002975715499378806,766640955,51
835479236,VISl,VISp,periodic_pow,0.003673130647923628,766640955,52
835479236,VISl,VISp,periodic_pow,0.0026117065832772512,766640955,53
835479236,VISl,VISp,periodic_pow,0.002352566570933301,766640955,54
835479236,VISl,VISp,periodic_pow,0.0023615427038086167,766640955,55
835479236,VISl,VISp,periodic_pow,0.002299490421247552,766640955,56
835479236,VISl,VISp,periodic_pow,0.0025703591043476637,766640955,57
835479236,VISl,VISp,periodic_pow,0.0030698469067709233,766640955,58
835479236,VISl,VISp,periodic_pow,0.0026370746674058143,766640955,59
835479236,VISl,VISp,periodic_pow,0.00396210436234079,768515987,0
835479236,VISl,VISp,periodic_pow,0.0031162269210157634,768515987,1
835479236,VISl,VISp,periodic_pow,0.0017232057912277554,768515987,2
835479236,VISl,VISp,periodic_pow,0.0038734183171735825,768515987,3
835479236,VISl,VISp,periodic_pow,0.003162669946989216,768515987,4
835479236,VISl,VISp,periodic_pow,0.004300380551001015,768515987,5
835479236,VISl,VISp,periodic_pow,0.004391133915470524,768515987,6
835479236,VISl,VISp,periodic_pow,0.00396136736503816,768515987,7
835479236,VISl,VISp,periodic_pow,0.0037650864929642536,768515987,8
835479236,VISl,VISp,periodic_pow,0.003824001094879792,768515987,9
835479236,VISl,VISp,periodic_pow,0.003515864935455082,768515987,10
835479236,VISl,VISp,periodic_pow,0.003847160809050676,768515987,11
835479236,VISl,VISp,periodic_pow,0.004193558688160293,768515987,12
835479236,VISl,VISp,periodic_pow,0.003544762855335337,768515987,13
835479236,VISl,VISp,periodic_pow,0.0034014383014153715,768515987,14
835479236,VISl,VISp,periodic_pow,0.0042924648053860315,768515987,15
835479236,VISl,VISp,periodic_pow,0.003711326542113813,768515987,16
835479236,VISl,VISp,periodic_pow,0.003842983534712796,768515987,17
835479236,VISl,VISp,periodic_pow,0.003955829137614053,768515987,18
835479236,VISl,VISp,periodic_pow,0.003842245717440962,768515987,19
835479236,VISl,VISp,periodic_pow,0.0030648742971306486,768515987,20
835479236,VISl,VISp,periodic_pow,0.0032246799080531963,768515987,21
835479236,VISl,VISp,periodic_pow,0.00372095625619262,768515987,22
835479236,VISl,VISp,periodic_pow,0.003210808419463529,768515987,23
835479236,VISl,VISp,periodic_pow,0.003809964776477104,768515987,24
835479236,VISl,VISp,periodic_pow,0.0036504567267257038,768515987,25
835479236,VISl,VISp,periodic_pow,0.004035487013408501,768515987,26
835479236,VISl,VISp,periodic_pow,0.0036623496294622138,768515987,27
835479236,VISl,VISp,periodic_pow,0.0036402351590666404,768515987,28
835479236,VISl,VISp,periodic_pow,0.0040764894307440125,768515987,29
835479236,VISl,VISp,periodic_pow,0.003896633286819995,768515987,30
835479236,VISl,VISp,periodic_pow,0.0035951832726067723,768515987,31
835479236,VISl,VISp,periodic_pow,0.003745922601899765,768515987,32
835479236,VISl,VISp,periodic_pow,0.003622244814383002,768515987,33
835479236,VISl,VISp,periodic_pow,0.003324816357018423,768515987,34
835479236,VISl,VISp,periodic_pow,0.003992751544874662,768515987,35
835479236,VISl,VISp,periodic_pow,0.003587680658743042,768515987,36
835479236,VISl,VISp,periodic_pow,0.0038217086970431247,768515987,37
835479236,VISl,VISp,periodic_pow,0.003528157697714085,768515987,38
835479236,VISl,VISp,periodic_pow,0.0035294492901197794,768515987,39
835479236,VISl,VISp,periodic_pow,0.0036648703152551976,768515987,40
835479236,VISl,VISp,periodic_pow,0.0034720402594495825,768515987,41
835479236,VISl,VISp,periodic_pow,0.0030114115440497136,768515987,42
835479236,VISl,VISp,periodic_pow,0.003665506485339365,768515987,43
835479236,VISl,VISp,periodic_pow,0.0037501691282754157,768515987,44
835479236,VISl,VISp,periodic_pow,0.0041309883746033504,768515987,45
835479236,VISl,VISp,periodic_pow,0.0038278812551689745,768515987,46
835479236,VISl,VISp,periodic_pow,0.003650870374966697,768515987,47
835479236,VISl,VISp,periodic_pow,0.0035175187799140195,768515987,48
835479236,VISl,VISp,periodic_pow,0.003757441038671261,768515987,49
835479236,VISl,VISp,periodic_pow,0.0039896951666557046,768515987,50
835479236,VISl,VISp,periodic_pow,0.003606387663630528,768515987,51
835479236,VISl,VISp,periodic_pow,0.0036859999674965227,768515987,52
835479236,VISl,VISp,periodic_pow,0.0036974255404239598,768515987,53
835479236,VISl,VISp,periodic_pow,0.0032336713043237264,768515987,54
835479236,VISl,VISp,periodic_pow,0.0032487086115081665,768515987,55
835479236,VISl,VISp,periodic_pow,0.0032663895618889605,768515987,56
835479236,VISl,VISp,periodic_pow,0.003964574807561738,768515987,57
835479236,VISl,VISp,periodic_pow,0.0037535178568173233,768515987,58
